tx,minter,tokenId,tokenUri
0x2d4b0c95ee055eaf1bd3a6d6ae8880ca13770159cc4a1ea591d47c299d704490,0x265B05613FeF6E489C707d2433f9b922E67A8df9,55,ipfs://QmP5kLuLCSzy6Vr2rTr4wnXj12v9bamXkAWrqpTg8bM5oa
0xf11c119793ae62df94a1df16d8c1212116495a8d8fe2358a9aaa7a7f6f1eaf64,0xD2567eb0893c8b5DE7deAC1CB66d8d60178767e8,56,ipfs://QmcjA6jddcwJu4fxztKLw5yStVcyx25SgUVFRPNFpQURQF
0x81e48a242d10fb9373961a63103a3d3e9dd5cb54e00eff14c36041ebc6fd0e7d,0x999E136C7575396bAD7ED1c726042908A43f666C,57,ipfs://QmP8btckcJruJndFHWq3P5r3EfLfgA4yVxskJpvekBbW29
0x6f857e6f53b34c8ba8d6e6c12fc9b9887494d31671248ba7d8beafd9d4d0f461,0x5234F85c1c94A84BD4575867ABDD298FC90b144e,58,ipfs://QmedQbfwA3zVYaiSxHe9x7Rw5uxhDdAzYHzuG1XxmNeS4s
0x73667e0060c0bffec093fa8aa7f7375ce055eb563897c4f35de7902f380595fa,0xA6f2037883F12420E479Ff43803133127A6BD5B9,59,ipfs://QmQ5Y1MFNMs9Lzp5aYqcVoSe3H7YyR3YwYFySuwF1TPS5v
0x22f29d569884297e1340b6022d63fb6097b88efe240e2d8a17dd954290efec2c,0x5e24c34dC8aB82964943e364ba30cF04A51cC3cd,60,ipfs://QmQ64sBJQVZcKoVVPrET6JMM3Fy3jNBeZQSxWTq8czvZNC
0x7d90141beac70315e1d6eda894dbed5b9568d6d61005637f43e2d2fa824d5c95,0xe6031Fa5B1BD2498a1881A88Cb9fb10576938aEF,61,ipfs://QmWerZMsK2qXKpiVUyrnfRfePwRjdYQAN8qsXLdqDMxh1u
0xaade11eaa63b1feac94ebcbd65e552fce9b86b5ca7f730eadd95bde4f646bfd1,0xb62cE9a8cefB346600eE38e2C34e16FE0d9267eE,62,ipfs://QmexAa6qMYrE9UfnqrRZGwo5v6mMHk4yHJa2ovrCh1t6og
0x58d249af12ed8e767c010c2f9ff47d3c2f3aba5a4b8e27d3c472ee4821ef4891,0xC715d96C3541191FF31da6c6B7Ad508971a43Af1,63,ipfs://Qmb4bAW7YEPFW6iZVujpN18jBpcDLcTUbrrAibhbjbt7cx
0x28b30554d490b59a50ec9663b796eac077e43d34e79665e3c3793f24a6d7dabe,0x4166aCB87c49e7630F9053B0be6e990B8fa8783c,64,ipfs://QmXTzkLzNChTeEqgT8eLEwcj5hLbiiqMhDBLWL1ejaCXC4
0x65550009d3b2b5c5f4d4ce14a78e231c30f84e96e3f552573f4ef27051d5088d,0x8A293A85FCc865107f4F6c09170C4A6FaB7E65F6,65,ipfs://QmSkmNnmZ2Zh8eipGRQGLcrMy5U8dDSjAVGqVG232MrJwj
0xac7f105ec914676433f5df6f086cac19d713f210865e0d7beede2a5ac08e386f,0xA90381616eeBC94D89b11afDE57b869705626968,66,ipfs://QmT9mWfxVJXG6P5QBfLdYExS7z8ijiwQS3Y4mvPJRUT21T
0xfcebc550d58156d59cd43e9745de819e4f61dfb1b820e70ea7c662915ea837f8,0xb0eE1755460DdDb01F73104dF2E61a89b0464885,67,ipfs://QmeQHvSKa9eF28jSVetsXQAfduzmoGCbviju94QK6c3bP3
0xec00676a2f6c480a4b9c72225310f8584ef9aa2d5caa667e02446e48bc171fb2,0x980F9a443EFE9f72C15C5631C6F2F211Bd9D70D3,68,ipfs://Qmcgi2cBDrGocezStn6hFugj6BBMKGq5kfBW9sjWZrYgf5
0x21f6ceb17075554e8dfb4ecd20ddf112bd196d03b259f27612d53c56ddc6177f,0x2512a92c1fDF8d18Cb1235796213Ea6a00B0B7D1,69,ipfs://QmYn4t6Aqf83tVWdrMBUNa29tUNrMojB8hmnfEmvSzLrtX
0xb0e6d994df53ce559aef3eea2de3989498bef128ffaf0201b73f4ff2c719f3cc,0xDc1125746a35A25F14a6AB0e9bD65d440dB58875,70,ipfs://QmShBKbivK6RbHNRaE21G2cYDijRAbSRa4MVHytVnQ1jyc
0x5129df58dbea075cced8d5a983fa6fb65355c566ddd1e3c68f346d0ca2bfd8bc,0xAcb4313910574b69e8116617105b97993ED8319d,71,ipfs://QmVkQsr3Uzsz6jHTvvq2RgkcXezs9dEtfkpLbLrVLjXHyN
0x68ee2313774e55d06b56a312b4ad0a5ac399b4865f0b3e9f937972618ae37cf5,0xb6dC27Dd54d4518B9372b9b9C5554031C691f4Cb,72,ipfs://QmeBGgf4r6PXy4CDHaWNDTRPQJRMYLXKSKUSUbXWYsBRSB
0xf070fb2b0dcb0de9786774b3cb3627c4caf4dc9d2e57bd2ae476468c88d6b9fe,0xFe4a2644b0DA55A14AD8F05c6858ea044e3D2fe3,73,ipfs://QmYirHyAwv7EXrahbjFpYCTWcQJrMLaRZGfHr6YnRSy7Ms
0x9f90b73c6dd5e83c6f11c379c871da4ec942cf7644c2941048732f34e78ca4b3,0xAB87Eb50280a340b42F4eaB31db90714B39fe687,74,ipfs://QmRwPnFFH9bWWCf7rSs9Rp1UAJSVWJK2MicXBXKoxC2xSv
0x955683132b5b887e8c8553e823f5b643f5f7e0d44b67ec4ba8d95bba90f9f51c,0xC7022AD38b8F225052C88296f67Ba0eaA4F8af35,75,ipfs://QmVUcUNFnTpY8378bLgm6QSWXzGyxyzJArvuAAkdBiMeGi
0x797b7ca6a15548c14c7f32488373db9a808bdebb32b616bbc2844753fb2b04d9,0x625B261E91efD5EC12ACe7a51d56B52B5040e8D9,76,ipfs://QmWzKWwCubtu8TxWFLh7Pfux7jrDENdoi3gWpftFDcFmXx
0xb2956109eaa1913e4a647df0127ea6fe5cd744427acb9a0fef99239ff4bf5359,0x5d2abDbcc951D39531eC0Ae5fc6b438D516d2Fe6,77,ipfs://QmXMoXnKcrYZnyi6ZjJC956dWLMfAGMpFpyCw24yCymr87
0x0e3ef1c975561dad2941f9f6fe96562fc16a3488a5625ee2308384a91a0e1d7f,0xBBc1fE874422F61fB135e72C3229Fffc3Cb266Fb,78,ipfs://QmNroQTgEeYd2qoWNs2SiKikFebZhjLz9yKzjrrHrwerjG
